timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761247771606,289,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,892,235,1,1,https://fakestoreapi.com/auth/login,289,0,0
1761247771896,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,236,1,1,https://fakestoreapi.com/auth/login,291,0,0
1761247772188,304,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,237,1,1,https://fakestoreapi.com/auth/login,304,0,0
1761247772493,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,899,235,1,1,https://fakestoreapi.com/auth/login,291,0,0
1761247772785,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,907,241,1,1,https://fakestoreapi.com/auth/login,291,0,0
1761247773076,292,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,235,1,1,https://fakestoreapi.com/auth/login,292,0,0
1761247773368,290,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,906,236,1,1,https://fakestoreapi.com/auth/login,290,0,0
1761247773659,290,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,894,237,1,1,https://fakestoreapi.com/auth/login,290,0,0
1761247773950,302,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,891,235,1,1,https://fakestoreapi.com/auth/login,302,0,0
1761247774253,296,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,901,241,1,1,https://fakestoreapi.com/auth/login,296,0,0
1761247774550,288,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,894,235,1,1,https://fakestoreapi.com/auth/login,288,0,0
1761247774839,309,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,894,236,1,1,https://fakestoreapi.com/auth/login,309,0,0
1761247775149,299,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,237,1,1,https://fakestoreapi.com/auth/login,299,0,0
1761247775449,293,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,893,235,1,1,https://fakestoreapi.com/auth/login,293,0,0
1761247775742,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,899,241,1,1,https://fakestoreapi.com/auth/login,291,0,0
1761247776033,287,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,894,235,1,1,https://fakestoreapi.com/auth/login,287,0,0
1761247776321,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,892,236,1,1,https://fakestoreapi.com/auth/login,291,0,0
1761247776612,292,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,237,1,1,https://fakestoreapi.com/auth/login,292,0,0
1761247776905,289,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,897,235,1,1,https://fakestoreapi.com/auth/login,289,0,0
